timestamp,O,H,L,C
2025-11-16 08:00:00+03:00,991.0,991.0,988.0,990.5
2025-11-17 08:00:00+03:00,987.0,987.5,980.0,982.0
2025-11-18 08:00:00+03:00,982.0,1007.0,977.0,999.0
2025-11-19 08:00:00+03:00,1010.5,1051.0,1004.0,1034.0
2025-11-20 08:00:00+03:00,1035.0,1074.5,1025.0,1070.0
2025-11-21 08:00:00+03:00,1064.5,1084.5,1058.0,1077.5
2025-11-24 08:00:00+03:00,1085.5,1090.5,1066.0,1073.0
2025-11-25 08:00:00+03:00,1078.5,1087.0,1057.0,1077.5
2025-11-26 08:00:00+03:00,1077.0,1078.5,1072.0,1078.0
2025-11-27 08:00:00+03:00,1078.0,1082.0,1055.0,1060.0
2025-11-28 08:00:00+03:00,1058.0,1098.0,1058.0,1094.5
2025-11-29 08:00:00+03:00,1095.5,1095.5,1093.0,1093.0
2025-11-30 08:00:00+03:00,1096.0,1104.0,1096.0,1102.0
2025-12-01 08:00:00+03:00,1101.5,1102.5,1088.0,1095.5
2025-12-02 08:00:00+03:00,1095.0,1103.0,1076.0,1093.0
2025-12-03 08:00:00+03:00,1075.0,1096.0,1065.5,1093.5
2025-12-04 08:00:00+03:00,1097.0,1112.0,1092.0,1107.5
2025-12-05 08:00:00+03:00,1110.0,1127.0,1109.0,1119.5
2025-12-08 08:00:00+03:00,1123.5,1126.5,1107.5,1108.0
2025-12-09 08:00:00+03:00,1104.0,1120.5,1101.0,1111.5
2025-12-10 08:00:00+03:00,1111.0,1117.5,1090.0,1094.5
2025-12-11 08:00:00+03:00,1095.5,1110.0,1089.0,1103.5
2025-12-12 08:00:00+03:00,1103.0,1104.5,1081.0,1083.5
2025-12-13 08:00:00+03:00,1085.0,1086.5,1084.5,1086.5
2025-12-14 08:00:00+03:00,1085.0,1085.0,1081.0,1084.0
2025-12-15 08:00:00+03:00,1090.0,1105.5,1085.5,1094.0
2025-12-16 08:00:00+03:00,1097.5,1111.0,1092.5,1104.0
2025-12-17 08:00:00+03:00,1108.0,1108.0,1077.5,1087.0
2025-12-18 08:00:00+03:00,1086.0,1096.5,1074.0,1080.0
2025-12-19 08:00:00+03:00,1080.0,1088.5,1063.0,1085.5
2025-12-20 08:00:00+03:00,1086.5,1092.0,1086.5,1088.5
2025-12-21 08:00:00+03:00,1084.5,1087.5,1082.5,1083.0
2025-12-22 08:00:00+03:00,1082.5,1105.0,1076.0,1093.5
2025-12-23 08:00:00+03:00,1095.0,1114.5,1090.0,1105.5
2025-12-24 08:00:00+03:00,1106.5,1106.5,1088.5,1096.5
2025-12-25 08:00:00+03:00,1097.5,1111.5,1095.5,1108.0
2025-12-26 08:00:00+03:00,1107.5,1130.0,1106.0,1130.0
2025-12-27 08:00:00+03:00,1130.5,1134.5,1130.5,1134.0
2025-12-28 08:00:00+03:00,1133.0,1136.5,1126.5,1136.5
2025-12-29 08:00:00+03:00,1135.0,1151.5,1106.0,1114.5
2025-12-30 08:00:00+03:00,1116.0,1123.0,1102.5,1112.0
2026-01-05 08:00:00+03:00,1107.5,1107.5,1079.0,1084.5
2026-01-06 08:00:00+03:00,1085.5,1096.5,1085.0,1094.5
2026-01-08 08:00:00+03:00,1088.5,1091.0,1078.0,1086.0
2026-01-09 08:00:00+03:00,1090.0,1100.5,1083.0,1098.5
2026-01-12 08:00:00+03:00,1100.0,1106.5,1092.5,1092.5
2026-01-13 08:00:00+03:00,1093.5,1099.5,1086.5,1090.0
2026-01-14 08:00:00+03:00,1089.0,1109.5,1083.0,1102.5
2026-01-15 08:00:00+03:00,1102.0,1102.5,1098.0,1098.5
